scenario,Rate_Global_mean,Rate_Global_ci95,Rate_AR_VR_mean,Rate_AR_VR_ci95,Rate_Streaming_mean,Rate_Streaming_ci95,Rate_BestEffort_mean,Rate_BestEffort_ci95,rho_mean,rho_ci95,overflow_rate_mean,overflow_rate_ci95
urban_light,0.6321,0.0448,0.3616,0.0406,0.5361,0.0436,0.9912,0.0034,0.6386,0.0412,0.1424,0.0336
urban_medium,0.4752,0.0295,0.2632,0.0221,0.424,0.0483,0.9983,0.001,1.0318,0.0959,0.4854,0.0803
urban_dense,0.3832,0.0228,0.28,0.0161,0.3592,0.0174,0.9451,0.0975,1.045,0.0523,0.4899,0.0311
